# element	name	version
freedesktop-sdk.bst-components-libdrm.bst	libdrm	
freedesktop-sdk.bst-components-libebur128.bst	libebur128	
freedesktop-sdk.bst-components-libeconf.bst	libeconf	
freedesktop-sdk.bst-components-libei.bst	libei	
freedesktop-sdk.bst-components-libepoxy.bst	libepoxy	
freedesktop-sdk.bst-components-liberation-fonts.bst	liberation-fonts	
freedesktop-sdk.bst-components-libevdev.bst	libevdev	
freedesktop-sdk.bst-components-libevent.bst	libevent	
freedesktop-sdk.bst-components-libexif.bst	libexif	
freedesktop-sdk.bst-components-libffi.bst	libffi	
freedesktop-sdk.bst-components-libfido2.bst	libfido2	
freedesktop-sdk.bst-components-libfl.bst	libfl	
freedesktop-sdk.bst-components-libflac.bst	libflac	
freedesktop-sdk.bst-components-libfyaml.bst	libfyaml	
freedesktop-sdk.bst-components-libgamemode.bst	libgamemode	
freedesktop-sdk.bst-components-libgcrypt.bst	libgcrypt	
freedesktop-sdk.bst-components-libglvnd.bst	libglvnd	
freedesktop-sdk.bst-components-libgpg-error.bst	libgpg-error	
freedesktop-sdk.bst-components-libgudev.bst	libgudev	
freedesktop-sdk.bst-components-libgusb.bst	libgusb	
freedesktop-sdk.bst-components-libheif.bst	libheif	
freedesktop-sdk.bst-components-libidn2.bst	libidn2	
freedesktop-sdk.bst-components-libinput.bst	libinput	
freedesktop-sdk.bst-components-libjxl.bst	libjxl	
freedesktop-sdk.bst-components-libksba.bst	libksba	
freedesktop-sdk.bst-components-liblc3.bst	liblc3	
freedesktop-sdk.bst-components-libmbim.bst	libmbim	
freedesktop-sdk.bst-components-libmicrohttpd.bst	libmicrohttpd	
freedesktop-sdk.bst-components-libmnl.bst	libmnl	
freedesktop-sdk.bst-components-libmysofa.bst	libmysofa	
freedesktop-sdk.bst-components-libndp.bst	libndp	
freedesktop-sdk.bst-components-libnftnl.bst	libnftnl	
freedesktop-sdk.bst-components-libnghttp2.bst	libnghttp2	
freedesktop-sdk.bst-components-libnghttp3.bst	libnghttp3	
freedesktop-sdk.bst-components-libngtcp2.bst	libngtcp2	
freedesktop-sdk.bst-components-libnice.bst	libnice	
freedesktop-sdk.bst-components-libnl.bst	libnl	
freedesktop-sdk.bst-components-libnvme.bst	libnvme	
freedesktop-sdk.bst-components-libogg.bst	libogg	
